,movie,year,imdb,votes
0,羅根,2017,8.1,604143
1,雷神索爾3：諸神黃昏,2017,7.9,537774
2,星際大戰：最後的絕地武士,2017,7.0,528101
3,星際異攻隊2,2017,7.6,528005
4,神力女超人,2017,7.4,520299
5,敦克爾克大行動,2017,7.9,506012
6,蜘蛛人：返校日,2017,7.4,474753
7,逃出絕命鎮,2017,7.7,448702
8,牠,2017,7.3,424944
9,銀翼殺手2049,2017,8.0,418471
10,玩命再劫,2017,7.6,401417
11,意外,2017,8.2,387329
12,正義聯盟,2017,6.4,356377
13,水底情深,2017,7.3,341640
14,捍衛任務2：殺神回歸,2017,7.5,335087
15,可可夜總會,2017,8.4,325287
16,野蠻遊戲：瘋狂叢林,2017,6.9,291115
17,美女與野獸,2017,7.1,255028
18,金剛：骷髏島,2017,6.6,254179
19,金牌特務：機密對決,2017,6.7,251483
20,加勒比海盜－神鬼奇航：死無對證,2017,6.6,244368
21,異形：聖約,2017,6.4,240405
22,大娛樂家,2017,7.6,215761
23,猩球崛起：終極決戰,2017,7.4,214480
24,淑女鳥,2017,7.4,207945
25,東方快車謀殺案,2017,6.5,194175
26,異星智慧,2017,6.6,194171
27,玩命關頭8,2017,6.7,192843
28,攻殼機動隊,2017,6.3,186903
29,極地追擊,2017,7.7,185740
30,以你的名字呼喚我,2017,7.9,181324
31,亞瑟：王者之劍,2017,6.7,180167
32,母親！,2017,6.6,175411
33,殺手保鑣,2017,6.9,174620
34,神鬼傳奇,2017,5.4,164489
35,極凍之城,2017,6.7,163721
36,老娘叫譚雅,2017,7.5,162011
37,光靈,2017,6.3,158558
38,最黑暗的時刻,2017,7.4,154767
39,星際特工瓦雷諾：千星之城,2017,6.5,152228
40,海灘救護隊,2017,5.5,150218
41,美國製造,2017,7.1,146460
42,變形金剛5：最終騎士,2017,5.2,127785
